search_type,filename,num_veh,dist,d0,d1,d2,d3,d4,Number of vehicles,Max capacity,Customers,total demand,Minimum vehicles to satisfy capacity
heuristic,r205,4,2100.8246381999998,0.548813503927,0.7151893663719999,0.6027633760719999,0.544883182997,0.42365479933899997,25,1000,101,1458,1.4580000000000002
heuristic,r205,5,2722.98846948,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826,25,1000,101,1458,1.4580000000000002
heuristic,r205,5,2545.17606541,0.791725038083,0.528894919753,0.5680445610939999,0.925596638293,0.07103605819789999,25,1000,101,1458,1.4580000000000002
heuristic,r205,4,2504.05897278,0.08712929970149999,0.0202183974403,0.8326198455480001,0.77815675095,0.870012148247,25,1000,101,1458,1.4580000000000002
heuristic,r205,4,2298.27863256,0.9786183422329999,0.799158564217,0.461479362253,0.780529176286,0.118274425869,25,1000,101,1458,1.4580000000000002
heuristic,r205,4,2321.46662388,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991,25,1000,101,1458,1.4580000000000002
heuristic,r205,4,2136.40246621,0.264555612105,0.774233689434,0.45615033221699997,0.568433948869,0.018789800436400002,25,1000,101,1458,1.4580000000000002
heuristic,r205,4,2337.64079929,0.617635497076,0.6120957227220001,0.616933996875,0.9437480785150001,0.681820299103,25,1000,101,1458,1.4580000000000002
heuristic,r205,4,1604.59055704,0.359507900574,0.437031953799,0.6976311959270001,0.060225471629300004,0.6667667154460001,25,1000,101,1458,1.4580000000000002
heuristic,r205,5,2588.98331777,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.36371077094300003,25,1000,101,1458,1.4580000000000002
heuristic,r206,4,1995.54337417,0.548813503927,0.7151893663719999,0.6027633760719999,0.544883182997,0.42365479933899997,25,1000,101,1458,1.4580000000000002
heuristic,r206,4,2340.38658381,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826,25,1000,101,1458,1.4580000000000002
heuristic,r206,4,2389.04912763,0.791725038083,0.528894919753,0.5680445610939999,0.925596638293,0.07103605819789999,25,1000,101,1458,1.4580000000000002
heuristic,r206,5,2810.24763106,0.08712929970149999,0.0202183974403,0.8326198455480001,0.77815675095,0.870012148247,25,1000,101,1458,1.4580000000000002
heuristic,r206,4,2106.94015749,0.9786183422329999,0.799158564217,0.461479362253,0.780529176286,0.118274425869,25,1000,101,1458,1.4580000000000002
heuristic,r206,4,2262.20545538,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991,25,1000,101,1458,1.4580000000000002
heuristic,r206,4,1981.26995853,0.264555612105,0.774233689434,0.45615033221699997,0.568433948869,0.018789800436400002,25,1000,101,1458,1.4580000000000002
heuristic,r206,4,2437.12198454,0.617635497076,0.6120957227220001,0.616933996875,0.9437480785150001,0.681820299103,25,1000,101,1458,1.4580000000000002
heuristic,r206,3,1572.01952828,0.359507900574,0.437031953799,0.6976311959270001,0.060225471629300004,0.6667667154460001,25,1000,101,1458,1.4580000000000002
heuristic,r206,5,2891.81541588,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.36371077094300003,25,1000,101,1458,1.4580000000000002
heuristic,r207,4,1811.79793744,0.548813503927,0.7151893663719999,0.6027633760719999,0.544883182997,0.42365479933899997,25,1000,101,1458,1.4580000000000002
heuristic,r207,4,2117.00318019,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826,25,1000,101,1458,1.4580000000000002
