search_type,filename,num_veh,dist,d0,d1,d2,d3,d4
heuristic,c105.p,11,1662.60414234,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991
heuristic,c105.p,11,1651.12783801,0.264555612105,0.774233689434,0.456150332217,0.568433948869,0.0187898004364
heuristic,c105.p,12,2169.31600001,0.617635497076,0.612095722722,0.616933996875,0.943748078515,0.681820299103
heuristic,c105.p,10,992.029249052,0.359507900574,0.437031953799,0.697631195927,0.0602254716293,0.666766715446
heuristic,c105.p,12,2442.9144589,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.363710770943
heuristic,c106.p,11,1799.98671366,0.548813503927,0.715189366372,0.602763376072,0.544883182997,0.423654799339
heuristic,c106.p,12,2499.9889244,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826
heuristic,c106.p,11,2293.13018954,0.791725038083,0.528894919753,0.568044561094,0.925596638293,0.0710360581979
heuristic,c106.p,12,2720.57976521,0.0871292997015,0.0202183974403,0.832619845548,0.77815675095,0.870012148247
heuristic,c106.p,11,2113.7594009,0.978618342233,0.799158564217,0.461479362253,0.780529176286,0.118274425869
heuristic,c106.p,11,2413.6072926,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991
heuristic,c106.p,11,1843.54133418,0.264555612105,0.774233689434,0.456150332217,0.568433948869,0.0187898004364
heuristic,c106.p,12,2451.43938172,0.617635497076,0.612095722722,0.616933996875,0.943748078515,0.681820299103
heuristic,c106.p,11,1256.79282496,0.359507900574,0.437031953799,0.697631195927,0.0602254716293,0.666766715446
heuristic,c106.p,12,2711.55466799,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.363710770943
heuristic,c107.p,11,1432.27688566,0.548813503927,0.715189366372,0.602763376072,0.544883182997,0.423654799339
heuristic,c107.p,11,1634.68806231,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826
heuristic,c107.p,11,1491.91140609,0.791725038083,0.528894919753,0.568044561094,0.925596638293,0.0710360581979
heuristic,c107.p,12,2266.55053285,0.0871292997015,0.0202183974403,0.832619845548,0.77815675095,0.870012148247
heuristic,c107.p,10,1432.25662213,0.978618342233,0.799158564217,0.461479362253,0.780529176286,0.118274425869
heuristic,c107.p,10,1310.74769993,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991
heuristic,c107.p,10,1414.98890415,0.264555612105,0.774233689434,0.456150332217,0.568433948869,0.0187898004364
heuristic,c107.p,11,1816.5174556,0.617635497076,0.612095722722,0.616933996875,0.943748078515,0.681820299103
heuristic,c107.p,12,1519.90472253,0.359507900574,0.437031953799,0.697631195927,0.0602254716293,0.666766715446
heuristic,c107.p,12,2223.3143428,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.363710770943
heuristic,c108.p,11,1850.44711886,0.548813503927,0.715189366372,0.602763376072,0.544883182997,0.423654799339
heuristic,c108.p,12,2618.54349243,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826
heuristic,c108.p,12,2775.00434096,0.791725038083,0.528894919753,0.568044561094,0.925596638293,0.0710360581979
heuristic,c108.p,12,2792.05547402,0.0871292997015,0.0202183974403,0.832619845548,0.77815675095,0.870012148247
heuristic,c108.p,11,2566.36608617,0.978618342233,0.799158564217,0.461479362253,0.780529176286,0.118274425869
heuristic,c108.p,11,2109.62435116,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991
heuristic,c108.p,12,2111.50232629,0.264555612105,0.774233689434,0.456150332217,0.568433948869,0.0187898004364
heuristic,c108.p,12,2766.9803176,0.617635497076,0.612095722722,0.616933996875,0.943748078515,0.681820299103
heuristic,c108.p,11,1294.18515063,0.359507900574,0.437031953799,0.697631195927,0.0602254716293,0.666766715446
heuristic,c108.p,12,3041.9894519,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.363710770943
heuristic,c109.p,10,1460.84246051,0.548813503927,0.715189366372,0.602763376072,0.544883182997,0.423654799339
heuristic,c109.p,11,1935.89760044,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826
heuristic,c109.p,11,1737.20803649,0.791725038083,0.528894919753,0.568044561094,0.925596638293,0.0710360581979
heuristic,c109.p,11,2207.33384733,0.0871292997015,0.0202183974403,0.832619845548,0.77815675095,0.870012148247
heuristic,c109.p,11,1664.64476726,0.978618342233,0.799158564217,0.461479362253,0.780529176286,0.118274425869
heuristic,c109.p,10,1489.80820206,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991
heuristic,c109.p,10,1556.25591712,0.264555612105,0.774233689434,0.456150332217,0.568433948869,0.0187898004364
heuristic,c109.p,11,2092.85032039,0.617635497076,0.612095722722,0.616933996875,0.943748078515,0.681820299103
heuristic,c109.p,10,1395.10324343,0.359507900574,0.437031953799,0.697631195927,0.0602254716293,0.666766715446
heuristic,c109.p,11,2423.25343891,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.363710770943
heuristic,c201.p,3,730.095993585,0.548813503927,0.715189366372,0.602763376072,0.544883182997,0.423654799339
heuristic,c201.p,3,857.330746879,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826
heuristic,c201.p,3,834.282927103,0.791725038083,0.528894919753,0.568044561094,0.925596638293,0.0710360581979
